age,annual_income,employment_length_years,home_ownership,credit_history_years,open_credit_lines,past_delinquencies_2yr,credit_utilization,loan_amount,loan_term_months,interest_rate,purpose,debt_to_income,payment_to_income,default
49,81552.0,15.6,RENT,24.9,3,0,0.64,23757.0,36,8.33,medical,0.097,0.11,0
41,22724.0,7.1,RENT,20.7,5,1,0.394,13976.0,48,5.69,major_purchase,0.154,0.172,1
21,56538.0,6.7,RENT,0.5,3,0,0.067,11525.0,36,13.5,debt_consolidation,0.068,0.083,0
37,52312.0,3.8,OWN,16.6,1,0,0.009,6011.0,36,12.1,debt_consolidation,0.038,0.046,0
30,77863.0,2.8,RENT,7.8,5,0,0.216,2132.0,24,6.63,home_improvement,0.014,0.015,0
66,49323.0,4.9,RENT,47.5,4,0,0.216,20127.0,48,7.8,credit_card,0.102,0.119,0
38,32229.0,0.8,MORTGAGE,17.1,5,0,0.359,7024.0,24,8.45,small_business,0.109,0.119,0
41,54376.0,3.6,RENT,21.1,5,1,0.142,33135.0,36,6.78,major_purchase,0.203,0.225,0
47,31526.0,3.6,RENT,22.2,1,2,0.235,13248.0,48,10.42,home_improvement,0.105,0.129,0
41,20689.0,4.6,MORTGAGE,20.8,2,0,0.087,2916.0,36,5.59,small_business,0.047,0.051,0
60,77930.0,6.0,MORTGAGE,33.4,5,2,0.161,16772.0,36,7.11,credit_card,0.072,0.08,0
33,72369.0,18.9,MORTGAGE,13.7,3,0,0.057,7738.0,60,5.44,debt_consolidation,0.021,0.024,0
42,68429.0,6.3,MORTGAGE,13.8,6,0,0.191,5986.0,60,7.81,debt_consolidation,0.017,0.021,0
31,103929.0,12.9,OWN,6.8,5,1,0.307,9646.0,48,9.72,debt_consolidation,0.023,0.028,0
24,38851.0,4.9,RENT,3.4,6,0,0.05,8737.0,48,6.45,credit_card,0.056,0.064,0
33,26488.0,5.9,MORTGAGE,13.7,7,1,0.405,9527.0,36,9.11,other,0.12,0.137,0
40,52312.0,0.4,RENT,20.6,9,0,0.384,1745.0,24,6.04,medical,0.017,0.018,0
35,45536.0,0.9,MORTGAGE,12.6,4,1,0.123,10105.0,12,10.64,credit_card,0.222,0.235,0
32,35556.0,5.2,RENT,11.4,6,1,0.348,9230.0,48,9.31,credit_card,0.065,0.078,0
23,52056.0,3.0,RENT,3.5,9,0,0.205,58517.0,48,8.73,debt_consolidation,0.281,0.334,0
39,39903.0,9.6,RENT,18.0,7,2,0.359,6244.0,36,10.68,home_improvement,0.052,0.061,0
22,21633.0,4.7,MORTGAGE,0.0,1,0,0.461,8309.0,36,10.03,credit_card,0.128,0.149,0
49,43452.0,12.8,MORTGAGE,30.9,2,1,0.382,12491.0,24,8.61,debt_consolidation,0.144,0.157,0
41,30694.0,21.5,RENT,22.7,5,1,0.517,11771.0,36,10.44,debt_consolidation,0.128,0.149,0
23,60829.0,1.0,RENT,4.7,4,0,0.478,14569.0,36,11.53,debt_consolidation,0.08,0.095,0
36,39026.0,3.0,RENT,17.2,7,0,0.261,11168.0,36,9.18,other,0.095,0.109,0
31,94449.0,6.6,RENT,11.3,5,0,0.044,5895.0,36,10.77,home_improvement,0.021,0.024,0
44,120805.0,2.2,RENT,21.1,5,0,0.576,20947.0,48,5.77,credit_card,0.043,0.049,0
56,76091.0,1.9,MORTGAGE,36.7,7,0,0.087,10626.0,48,7.16,credit_card,0.035,0.04,0
18,24946.0,10.1,RENT,0.0,3,0,0.274,8229.0,24,5.28,debt_consolidation,0.165,0.174,0
41,114990.0,23.6,MORTGAGE,21.0,6,0,0.127,7306.0,24,9.8,major_purchase,0.032,0.035,0
38,119117.0,8.9,RENT,2.9,6,1,0.26,10469.0,36,8.84,medical,0.029,0.033,0
48,54688.0,4.4,MORTGAGE,28.7,11,1,0.115,27314.0,36,9.43,small_business,0.166,0.192,0
43,104973.0,3.5,RENT,15.2,5,0,0.525,5172.0,36,10.21,other,0.016,0.019,0
31,41116.0,4.7,OWN,12.7,9,0,0.167,32019.0,24,4.94,medical,0.389,0.41,0
36,21309.0,3.7,MORTGAGE,17.4,9,0,0.415,13408.0,48,10.08,credit_card,0.157,0.192,0
30,37044.0,4.2,RENT,8.1,10,0,0.32,10556.0,24,9.67,debt_consolidation,0.142,0.157,0
53,128624.0,1.4,MORTGAGE,32.9,7,0,0.088,12212.0,48,10.83,credit_card,0.024,0.029,0
40,25705.0,14.0,RENT,17.7,7,0,0.275,14584.0,48,8.65,debt_consolidation,0.142,0.168,0
63,54163.0,8.4,RENT,39.0,4,0,0.223,17982.0,12,9.75,small_business,0.332,0.35,1
39,55109.0,6.9,MORTGAGE,20.1,4,0,0.17,7278.0,12,9.13,medical,0.132,0.139,0
31,41920.0,18.0,MORTGAGE,9.6,3,0,0.371,38677.0,24,7.29,credit_card,0.461,0.497,0
22,43401.0,2.0,RENT,1.2,4,1,0.383,17748.0,48,4.0,debt_consolidation,0.102,0.111,0
18,56169.0,0.5,RENT,0.0,5,0,0.198,8532.0,36,8.26,major_purchase,0.051,0.057,0
21,40901.0,10.5,MORTGAGE,1.3,7,1,0.194,11604.0,48,9.36,credit_card,0.071,0.085,0
43,26608.0,38.7,RENT,24.8,5,3,0.418,8817.0,48,9.42,credit_card,0.083,0.1,0
46,60326.0,5.2,MORTGAGE,25.4,3,0,0.22,5510.0,36,7.26,debt_consolidation,0.03,0.034,0
21,92659.0,0.4,RENT,0.0,4,0,0.263,12072.0,24,11.12,small_business,0.065,0.073,0
51,83683.0,9.1,RENT,33.0,7,2,0.344,8792.0,48,11.67,other,0.026,0.033,0
34,36139.0,0.5,MORTGAGE,15.2,7,0,0.167,12734.0,24,7.92,home_improvement,0.176,0.191,0
42,28981.0,4.7,RENT,22.9,6,0,0.586,18804.0,60,12.19,debt_consolidation,0.13,0.174,0
59,47000.0,2.0,MORTGAGE,36.6,2,0,0.214,16106.0,48,8.61,home_improvement,0.086,0.102,0
51,118646.0,14.8,MORTGAGE,31.8,7,0,0.089,5165.0,24,5.93,other,0.022,0.023,0
37,74817.0,3.6,MORTGAGE,18.2,6,0,0.055,10132.0,36,9.37,credit_card,0.045,0.052,0
29,77032.0,13.7,MORTGAGE,7.9,4,0,0.689,5388.0,24,7.34,major_purchase,0.035,0.038,0
18,84536.0,2.1,RENT,0.0,4,1,0.172,5734.0,48,6.86,small_business,0.017,0.019,1
31,66862.0,2.9,OWN,12.4,5,0,0.577,5275.0,60,8.62,debt_consolidation,0.016,0.019,0
37,57544.0,17.6,OWN,17.4,6,0,0.366,5969.0,12,8.73,credit_card,0.104,0.109,0
28,75445.0,1.3,OWN,8.7,4,1,0.192,6168.0,36,10.38,debt_consolidation,0.027,0.032,0
38,41230.0,5.2,RENT,18.7,7,1,0.319,2937.0,36,11.52,medical,0.024,0.028,0
41,26709.0,3.0,OWN,22.7,7,0,0.336,10387.0,36,9.36,home_improvement,0.13,0.149,0
37,77769.0,8.9,RENT,17.7,3,0,0.2,6738.0,48,4.0,debt_consolidation,0.022,0.023,0
32,100596.0,0.8,MORTGAGE,9.2,6,1,0.12,7048.0,36,9.87,medical,0.023,0.027,0
42,30973.0,3.4,MORTGAGE,22.4,4,1,0.296,9144.0,60,6.8,debt_consolidation,0.059,0.07,0
45,81712.0,7.2,MORTGAGE,24.4,7,0,0.249,12456.0,36,9.93,debt_consolidation,0.051,0.059,0
27,125540.0,3.1,MORTGAGE,8.5,3,0,0.323,24572.0,36,8.77,debt_consolidation,0.065,0.074,0
57,54116.0,0.4,RENT,38.8,2,0,0.284,7499.0,12,8.93,debt_consolidation,0.139,0.145,0
39,35990.0,7.3,OWN,14.6,4,1,0.123,7957.0,36,7.75,major_purchase,0.074,0.083,0
40,57613.0,4.2,MORTGAGE,20.8,8,1,0.328,5793.0,36,9.26,major_purchase,0.034,0.039,0
48,41140.0,0.1,RENT,28.7,6,0,0.367,12939.0,48,11.42,debt_consolidation,0.079,0.098,0
43,39801.0,5.7,MORTGAGE,18.7,4,1,0.185,26101.0,36,12.57,medical,0.219,0.264,0
51,67278.0,15.1,MORTGAGE,29.3,6,0,0.149,5333.0,36,8.36,major_purchase,0.026,0.03,0
43,24298.0,0.7,OWN,20.8,3,1,0.17,15552.0,48,8.72,home_improvement,0.16,0.19,0
33,26319.0,5.4,RENT,11.6,4,2,0.066,19195.0,60,7.7,debt_consolidation,0.146,0.176,0
44,54701.0,7.8,RENT,25.7,5,0,0.141,14443.0,48,8.62,debt_consolidation,0.066,0.078,0
26,53575.0,0.4,RENT,0.0,4,0,0.126,15640.0,36,9.36,home_improvement,0.097,0.112,0
41,64330.0,0.1,OWN,15.8,4,0,0.043,7066.0,48,8.94,small_business,0.027,0.033,0
40,138360.0,3.7,MORTGAGE,21.2,12,0,0.604,6532.0,36,7.42,small_business,0.016,0.018,0
38,57083.0,9.4,MORTGAGE,15.1,5,0,0.244,33365.0,36,6.0,major_purchase,0.195,0.213,0
38,73064.0,1.1,RENT,18.4,4,0,0.338,8140.0,24,7.38,debt_consolidation,0.056,0.06,0
18,33264.0,10.9,MORTGAGE,0.0,3,2,0.217,9854.0,36,8.83,debt_consolidation,0.099,0.113,0
33,79536.0,6.4,MORTGAGE,14.5,10,0,0.563,13201.0,24,12.0,debt_consolidation,0.083,0.094,0
41,41640.0,2.4,RENT,20.7,4,0,0.26,12251.0,24,7.86,credit_card,0.147,0.159,0
42,56146.0,4.4,OWN,23.6,6,1,0.29,19952.0,36,9.13,credit_card,0.118,0.136,0
28,51307.0,20.2,RENT,7.7,6,0,0.175,3451.0,12,4.97,home_improvement,0.067,0.069,0
55,90807.0,1.5,RENT,36.2,1,0,0.074,3866.0,36,4.47,home_improvement,0.014,0.015,0
30,28142.0,4.2,OWN,10.2,5,0,0.104,7031.0,60,4.0,small_business,0.05,0.055,0
52,17299.0,5.9,MORTGAGE,30.7,5,0,0.335,7852.0,48,12.97,small_business,0.113,0.146,0
45,48693.0,0.9,RENT,20.7,8,1,0.323,8187.0,24,9.52,home_improvement,0.084,0.093,0
32,68478.0,0.3,MORTGAGE,13.5,5,0,0.311,9922.0,48,6.86,other,0.036,0.042,0
61,58462.0,0.1,MORTGAGE,36.3,7,1,0.065,5474.0,24,7.79,credit_card,0.047,0.051,0
26,100318.0,2.4,MORTGAGE,6.5,3,0,0.462,18015.0,48,8.16,other,0.045,0.053,0
51,67419.0,0.5,MORTGAGE,27.4,4,0,0.179,20917.0,36,11.93,debt_consolidation,0.103,0.124,0
52,40867.0,9.8,RENT,31.8,5,1,0.306,15119.0,36,9.41,other,0.123,0.142,0
32,16938.0,35.5,RENT,8.1,5,0,0.585,7111.0,24,9.49,home_improvement,0.21,0.231,0
57,48115.0,0.4,RENT,35.7,8,0,0.334,22985.0,36,11.73,debt_consolidation,0.159,0.19,0
37,90579.0,3.4,RENT,16.9,8,0,0.19,9690.0,36,10.42,debt_consolidation,0.036,0.042,0
43,44533.0,0.2,MORTGAGE,23.9,3,0,0.42,14254.0,48,10.83,small_business,0.08,0.099,0
43,54949.0,0.9,RENT,14.6,3,0,0.187,6165.0,36,4.0,debt_consolidation,0.037,0.04,0
38,66882.0,2.3,MORTGAGE,15.2,6,0,0.033,4491.0,36,6.67,home_improvement,0.022,0.025,0
50,32609.0,3.0,MORTGAGE,30.6,6,0,0.143,11563.0,60,14.06,home_improvement,0.071,0.099,0
50,73985.0,16.9,MORTGAGE,31.5,4,0,0.329,32836.0,60,7.19,debt_consolidation,0.089,0.106,0
19,122831.0,3.0,MORTGAGE,0.0,2,0,0.332,13152.0,48,9.94,major_purchase,0.027,0.033,0
56,49692.0,4.1,RENT,24.2,8,0,0.286,22106.0,24,7.5,debt_consolidation,0.222,0.24,0
20,30806.0,1.7,OWN,1.0,6,0,0.6,15657.0,24,9.95,credit_card,0.254,0.281,0
52,52402.0,0.0,RENT,26.6,3,0,0.055,6524.0,48,13.22,credit_card,0.031,0.04,0
54,17815.0,13.8,MORTGAGE,35.6,3,0,0.02,9887.0,36,9.58,debt_consolidation,0.185,0.214,0
27,64116.0,0.5,RENT,0.0,6,1,0.507,18202.0,60,14.81,debt_consolidation,0.057,0.081,1
35,67923.0,20.0,MORTGAGE,12.9,2,0,0.341,23420.0,48,11.11,debt_consolidation,0.086,0.107,0
27,125219.0,0.8,MORTGAGE,7.7,11,0,0.493,10024.0,60,6.12,credit_card,0.016,0.019,0
37,49168.0,5.6,OWN,17.9,5,0,0.119,2804.0,24,5.02,home_improvement,0.029,0.03,0
36,66452.0,40.0,OWN,14.9,7,0,0.647,15812.0,36,4.0,debt_consolidation,0.079,0.084,0
49,35220.0,0.9,OWN,28.3,7,1,0.369,17625.0,24,8.2,small_business,0.25,0.272,1
56,45333.0,3.3,OWN,30.5,4,0,0.047,14905.0,36,7.82,medical,0.11,0.123,0
57,25271.0,9.1,MORTGAGE,34.6,2,0,0.128,2149.0,12,8.59,home_improvement,0.085,0.089,0
33,49149.0,0.2,MORTGAGE,12.7,5,0,0.187,8886.0,48,8.44,other,0.045,0.053,0
37,46506.0,7.0,MORTGAGE,11.1,3,0,0.297,3589.0,60,11.82,other,0.015,0.021,0
20,62919.0,0.5,MORTGAGE,0.0,3,2,0.674,8891.0,60,5.64,debt_consolidation,0.028,0.032,0
30,39664.0,1.6,RENT,6.3,7,0,0.268,18396.0,60,10.52,other,0.093,0.12,0
52,56482.0,1.0,MORTGAGE,28.5,9,1,0.145,18468.0,24,9.76,credit_card,0.163,0.181,0
59,45858.0,14.3,MORTGAGE,33.5,2,0,0.185,11769.0,36,11.38,home_improvement,0.086,0.101,1
25,45901.0,1.2,RENT,6.8,4,1,0.447,25186.0,36,10.15,debt_consolidation,0.183,0.213,0
33,56398.0,0.2,RENT,12.4,5,0,0.255,13925.0,36,12.43,debt_consolidation,0.082,0.099,0
40,55285.0,5.3,RENT,20.1,3,0,0.108,27471.0,12,7.0,medical,0.497,0.516,1
43,79268.0,2.5,MORTGAGE,23.0,7,2,0.186,17960.0,36,10.37,major_purchase,0.076,0.088,0
30,51005.0,3.1,MORTGAGE,10.2,8,0,0.406,13466.0,48,10.3,small_business,0.066,0.081,0
45,45481.0,0.8,MORTGAGE,21.5,4,1,0.14,6216.0,12,7.85,debt_consolidation,0.137,0.143,0
34,49493.0,8.3,MORTGAGE,14.8,2,0,0.211,4248.0,12,8.69,other,0.086,0.09,0
40,37899.0,5.5,RENT,20.1,9,0,0.29,8686.0,36,8.84,home_improvement,0.076,0.087,0
47,45254.0,2.7,MORTGAGE,28.3,2,1,0.164,9752.0,36,10.9,home_improvement,0.072,0.085,0
40,149579.0,1.1,RENT,21.1,5,1,0.212,9400.0,36,8.86,debt_consolidation,0.021,0.024,0
35,34326.0,5.4,OWN,13.8,2,1,0.167,16475.0,36,9.58,credit_card,0.16,0.185,0
39,47130.0,9.0,OWN,20.6,9,0,0.27,24173.0,24,5.52,credit_card,0.256,0.271,0
39,44634.0,2.2,RENT,20.4,3,1,0.482,28109.0,36,13.85,medical,0.21,0.258,0
36,47878.0,0.2,RENT,15.7,4,1,0.522,4658.0,60,8.82,debt_consolidation,0.019,0.024,0
37,45907.0,1.4,RENT,18.9,5,0,0.511,13517.0,36,6.81,credit_card,0.098,0.109,0
59,62294.0,6.9,RENT,40.6,4,1,0.024,13047.0,48,8.91,credit_card,0.052,0.062,0
47,23038.0,27.1,MORTGAGE,23.0,9,0,0.189,5663.0,36,8.24,home_improvement,0.082,0.093,0
36,90997.0,0.1,RENT,12.4,4,0,0.206,4172.0,48,7.99,major_purchase,0.011,0.013,0
48,74332.0,2.2,OWN,28.7,7,1,0.33,4574.0,12,9.81,home_improvement,0.062,0.065,0
36,29102.0,0.4,MORTGAGE,16.7,4,1,0.246,4041.0,36,6.03,home_improvement,0.046,0.051,0
54,17422.0,2.3,RENT,27.7,1,0,0.36,7093.0,48,7.48,debt_consolidation,0.102,0.118,0
44,33238.0,3.1,OWN,25.9,4,0,0.36,15139.0,12,9.52,credit_card,0.455,0.479,1
39,47986.0,15.2,RENT,18.4,5,1,0.123,8725.0,60,12.47,credit_card,0.036,0.049,0
45,196840.0,0.5,MORTGAGE,24.3,4,0,0.331,5261.0,60,4.85,credit_card,0.005,0.006,0
21,71085.0,9.0,RENT,0.0,6,0,0.258,4393.0,48,8.39,home_improvement,0.015,0.018,0
26,21943.0,3.0,RENT,0.0,5,0,0.276,8664.0,24,10.8,other,0.197,0.22,0
26,38375.0,10.0,RENT,6.7,4,0,0.38,10287.0,12,11.12,credit_card,0.268,0.284,0
42,52754.0,4.3,MORTGAGE,22.3,9,0,0.294,5776.0,36,10.4,debt_consolidation,0.036,0.043,0
61,61503.0,0.2,MORTGAGE,39.7,2,0,0.224,7894.0,36,7.46,debt_consolidation,0.043,0.048,0
67,28075.0,17.5,OWN,38.7,5,0,0.372,9266.0,12,8.4,debt_consolidation,0.33,0.345,0
48,50640.0,0.5,MORTGAGE,23.4,7,1,0.339,21074.0,36,7.62,major_purchase,0.139,0.156,0
46,37842.0,5.5,MORTGAGE,24.7,4,0,0.699,9410.0,60,8.06,debt_consolidation,0.05,0.061,0
18,31198.0,12.6,RENT,0.0,6,0,0.376,6162.0,48,9.84,credit_card,0.049,0.06,0
33,61685.0,0.5,RENT,14.7,9,0,0.248,60515.0,60,11.64,home_improvement,0.196,0.26,0
31,79773.0,4.8,MORTGAGE,11.6,8,0,0.155,5296.0,12,7.86,credit_card,0.066,0.069,0
33,82497.0,10.4,MORTGAGE,15.0,1,0,0.128,16558.0,24,4.74,debt_consolidation,0.1,0.105,1
38,72200.0,25.8,RENT,19.4,4,1,0.229,6447.0,48,11.66,debt_consolidation,0.022,0.028,0
34,42248.0,7.7,MORTGAGE,13.0,7,0,0.293,5729.0,48,7.31,home_improvement,0.034,0.039,0
18,77441.0,2.0,MORTGAGE,0.0,8,0,0.08,3179.0,24,7.63,credit_card,0.021,0.022,0
49,63230.0,7.2,RENT,28.0,5,0,0.371,16059.0,60,10.36,debt_consolidation,0.051,0.065,0
27,57929.0,7.3,RENT,5.7,8,2,0.078,5923.0,36,5.45,credit_card,0.034,0.037,0
43,39901.0,7.2,MORTGAGE,24.7,4,0,0.116,19204.0,36,8.36,debt_consolidation,0.16,0.182,0
65,42259.0,11.6,OWN,43.7,8,2,0.358,10019.0,36,10.99,credit_card,0.079,0.093,0
29,56215.0,0.5,MORTGAGE,9.2,3,1,0.353,11219.0,60,7.65,small_business,0.04,0.048,1
18,183494.0,0.7,MORTGAGE,0.0,3,1,0.216,22092.0,36,9.22,major_purchase,0.04,0.046,0
37,62983.0,6.1,MORTGAGE,17.8,2,1,0.306,25042.0,36,7.67,debt_consolidation,0.133,0.149,0
53,39911.0,18.5,MORTGAGE,32.4,6,2,0.392,15132.0,60,6.35,debt_consolidation,0.076,0.089,0
64,35732.0,3.8,OWN,44.3,4,0,0.268,18562.0,24,4.67,credit_card,0.26,0.273,0
25,42367.0,19.4,RENT,4.5,14,0,0.547,12067.0,48,9.5,other,0.071,0.086,0
46,160917.0,16.7,OWN,27.5,4,0,0.354,4910.0,60,13.41,debt_consolidation,0.006,0.008,1
34,44372.0,14.0,OWN,14.5,7,0,0.36,22000.0,36,10.24,debt_consolidation,0.165,0.193,0
39,85258.0,14.4,OWN,19.6,8,0,0.105,12127.0,60,8.39,medical,0.028,0.035,0
72,44893.0,13.7,OWN,50.0,4,1,0.586,14360.0,24,12.45,major_purchase,0.16,0.181,0
22,61734.0,10.3,MORTGAGE,0.3,7,0,0.442,10598.0,36,9.3,debt_consolidation,0.057,0.066,0
43,80489.0,7.1,RENT,17.8,4,0,0.23,14803.0,48,6.87,medical,0.046,0.053,0
46,40703.0,0.1,OWN,25.0,3,0,0.027,9468.0,60,8.42,medical,0.047,0.057,0
53,39318.0,0.9,RENT,33.9,2,0,0.089,19875.0,48,8.66,debt_consolidation,0.126,0.15,0
41,124173.0,0.9,OWN,18.4,5,0,0.47,18468.0,24,11.12,debt_consolidation,0.074,0.083,0
44,88636.0,0.1,RENT,23.9,8,0,0.215,7571.0,48,9.74,home_improvement,0.021,0.026,0
35,80446.0,0.7,MORTGAGE,16.4,3,0,0.528,9629.0,12,7.26,credit_card,0.12,0.124,0
43,80309.0,15.1,MORTGAGE,20.9,2,0,0.137,14230.0,36,6.93,other,0.059,0.066,0
36,68172.0,6.5,RENT,17.6,9,0,0.569,3590.0,60,9.55,credit_card,0.011,0.013,0
47,148581.0,2.2,OWN,28.4,2,1,0.263,7315.0,24,10.16,credit_card,0.025,0.027,0
36,55379.0,9.5,RENT,13.7,4,0,0.462,10362.0,24,9.46,home_improvement,0.094,0.103,0
45,72304.0,4.0,MORTGAGE,22.6,7,0,0.061,7584.0,60,10.75,small_business,0.021,0.027,0
40,26227.0,0.9,RENT,17.3,6,0,0.197,12626.0,12,5.83,other,0.481,0.497,0
54,35865.0,13.0,RENT,35.0,5,0,0.314,5595.0,24,9.5,medical,0.078,0.086,0
39,29720.0,2.5,OWN,15.0,4,0,0.391,10270.0,48,8.78,credit_card,0.086,0.103,0
19,102440.0,7.2,MORTGAGE,0.0,5,0,0.176,3767.0,12,8.75,major_purchase,0.037,0.039,0
55,15119.0,2.1,MORTGAGE,31.6,5,0,0.317,8054.0,36,5.47,other,0.178,0.193,1
29,44305.0,4.2,OWN,7.3,8,1,0.3,10179.0,12,7.41,debt_consolidation,0.23,0.239,0
32,15000.0,10.2,RENT,11.4,3,0,0.198,5837.0,36,9.96,debt_consolidation,0.13,0.151,0
33,35752.0,1.0,RENT,14.7,3,0,0.48,13328.0,48,6.51,credit_card,0.093,0.106,1
56,42384.0,22.7,RENT,34.3,2,1,0.008,13211.0,48,12.74,home_improvement,0.078,0.1,0
18,108276.0,0.4,MORTGAGE,0.0,3,1,0.365,16308.0,48,9.85,medical,0.038,0.046,0
75,66060.0,4.6,RENT,55.9,9,1,0.465,3174.0,24,11.54,debt_consolidation,0.024,0.027,0
53,35719.0,14.9,RENT,31.0,6,0,0.163,17568.0,48,7.39,credit_card,0.123,0.142,0
43,92317.0,17.5,MORTGAGE,22.6,2,2,0.305,18550.0,48,6.49,debt_consolidation,0.05,0.057,0
39,54662.0,1.6,RENT,18.5,5,1,0.618,16996.0,60,12.7,other,0.062,0.084,0
43,55204.0,0.9,OWN,23.6,5,0,0.186,8043.0,60,7.48,medical,0.029,0.035,0
46,29693.0,7.7,OWN,27.6,6,0,0.391,8371.0,60,7.77,small_business,0.056,0.068,1
48,33024.0,0.3,MORTGAGE,29.3,6,0,0.112,8411.0,48,4.74,debt_consolidation,0.064,0.07,0
47,35863.0,4.0,RENT,24.6,7,0,0.184,12762.0,48,4.9,small_business,0.089,0.098,0
41,55450.0,9.5,OWN,22.0,2,1,0.144,6886.0,60,8.64,debt_consolidation,0.025,0.031,0
38,56328.0,4.9,MORTGAGE,20.0,1,0,0.102,5714.0,36,7.99,debt_consolidation,0.034,0.038,0
38,117248.0,1.2,MORTGAGE,2.6,2,0,0.199,7574.0,36,7.35,small_business,0.022,0.024,0
38,65679.0,4.0,MORTGAGE,19.3,4,0,0.703,19119.0,24,9.78,debt_consolidation,0.146,0.161,0
54,15000.0,15.3,MORTGAGE,32.8,7,0,0.68,4461.0,24,10.48,small_business,0.149,0.165,0
47,61779.0,5.8,MORTGAGE,21.2,6,1,0.295,18155.0,36,10.58,medical,0.098,0.115,0
18,26239.0,7.7,RENT,0.0,6,0,0.298,5748.0,24,8.67,debt_consolidation,0.11,0.12,0
48,33424.0,2.5,RENT,25.2,8,0,0.218,35004.0,48,6.76,debt_consolidation,0.262,0.3,0
42,36095.0,1.3,MORTGAGE,12.8,5,0,0.394,25582.0,24,8.78,credit_card,0.354,0.388,0
40,38884.0,1.8,OWN,16.1,7,0,0.383,31559.0,36,9.98,other,0.271,0.314,0
35,27240.0,4.6,MORTGAGE,14.6,7,1,0.086,6164.0,24,9.47,home_improvement,0.113,0.125,0
53,59978.0,2.0,RENT,33.6,5,1,0.256,13081.0,60,8.44,debt_consolidation,0.044,0.054,0
51,26758.0,4.7,RENT,31.0,5,0,0.126,6865.0,48,7.79,small_business,0.064,0.075,0
31,64753.0,7.4,RENT,7.5,7,0,0.082,6591.0,36,7.14,medical,0.034,0.038,0
45,165791.0,8.0,RENT,21.2,10,0,0.36,15111.0,36,10.26,major_purchase,0.03,0.035,0
28,27870.0,1.1,RENT,4.4,6,0,0.274,8700.0,60,11.43,debt_consolidation,0.062,0.082,0
23,46993.0,8.3,RENT,2.3,1,2,0.073,12446.0,24,6.51,debt_consolidation,0.132,0.142,0
32,15341.0,6.7,OWN,12.1,5,0,0.145,10069.0,60,10.59,debt_consolidation,0.131,0.17,0
50,46608.0,0.1,OWN,30.9,6,0,0.377,4692.0,24,7.59,small_business,0.05,0.054,0
51,74709.0,0.4,MORTGAGE,33.0,5,0,0.529,17659.0,48,12.44,credit_card,0.059,0.075,0
46,77677.0,6.2,RENT,23.7,2,1,0.148,27366.0,36,8.15,debt_consolidation,0.117,0.133,0
49,56313.0,2.9,RENT,30.0,5,2,0.259,32275.0,36,10.59,debt_consolidation,0.191,0.224,0
46,84511.0,0.9,RENT,26.8,6,0,0.147,6430.0,12,7.04,credit_card,0.076,0.079,0
32,193499.0,0.3,RENT,8.4,7,1,0.32,5055.0,36,9.9,credit_card,0.009,0.01,0
45,127536.0,1.0,MORTGAGE,26.8,3,0,0.154,5179.0,60,7.18,major_purchase,0.008,0.01,0
50,41720.0,19.0,MORTGAGE,24.1,5,1,0.431,10430.0,36,9.54,home_improvement,0.083,0.096,0
49,26224.0,7.8,MORTGAGE,31.0,5,0,0.343,48361.0,48,9.21,credit_card,0.461,0.553,0
54,44220.0,4.5,MORTGAGE,27.6,3,0,0.483,9757.0,36,10.62,major_purchase,0.074,0.086,0
48,33742.0,17.0,RENT,28.2,3,0,0.127,18822.0,36,9.98,major_purchase,0.186,0.216,0
44,67892.0,5.8,MORTGAGE,25.7,1,1,0.11,8682.0,24,9.3,debt_consolidation,0.064,0.07,0
53,30014.0,7.8,MORTGAGE,31.6,4,0,0.068,8704.0,60,7.66,other,0.058,0.07,0
40,52239.0,2.0,MORTGAGE,15.2,5,0,0.306,4985.0,60,6.22,major_purchase,0.019,0.022,0
29,82373.0,5.3,MORTGAGE,9.3,8,2,0.41,15770.0,60,7.12,home_improvement,0.038,0.046,0
38,51516.0,0.9,RENT,16.5,4,2,0.437,7626.0,36,8.04,debt_consolidation,0.049,0.056,0
31,33754.0,3.1,OWN,1.4,7,1,0.304,10598.0,24,7.79,credit_card,0.157,0.17,0
32,97480.0,0.2,RENT,13.2,3,1,0.11,22765.0,36,11.97,home_improvement,0.078,0.093,0
38,21174.0,1.5,OWN,14.8,6,0,0.374,4447.0,36,10.29,debt_consolidation,0.07,0.082,1
30,45986.0,0.5,MORTGAGE,11.0,4,0,0.014,8950.0,36,4.24,debt_consolidation,0.065,0.069,0
36,53060.0,2.9,OWN,16.3,7,0,0.054,13701.0,48,9.59,small_business,0.065,0.078,0
18,54609.0,11.1,OWN,0.0,2,1,0.132,11177.0,24,9.58,debt_consolidation,0.102,0.113,0
43,59293.0,2.8,OWN,23.2,6,1,0.358,4762.0,12,11.45,other,0.08,0.085,0
40,73513.0,10.7,RENT,22.0,6,2,0.361,9157.0,36,8.05,medical,0.042,0.047,0
30,53226.0,6.4,OWN,10.9,4,0,0.165,28408.0,48,11.38,debt_consolidation,0.133,0.167,0
48,45070.0,4.3,OWN,28.2,7,0,0.495,11624.0,24,9.77,small_business,0.129,0.142,1
51,44188.0,1.6,RENT,30.0,8,1,0.358,7560.0,48,9.23,credit_card,0.043,0.051,0
21,39904.0,15.3,RENT,0.0,4,0,0.432,7766.0,48,9.38,credit_card,0.049,0.059,0
31,80320.0,0.3,RENT,10.4,9,0,0.256,14458.0,24,8.05,credit_card,0.09,0.098,0
